,Unnamed: 0,Destino,Aeropuerto,Precio más barato,Fechas
0,0,BERLIN-BRANDERBURG WILLY BRANDT ,BER,33,2023-01-16
1,1,ROMA /FIUMICINO ,FCO,21,2023-01-18
2,2,PARIS /BEAUVAIS-TILLE ,BVA,21,2023-01-29
3,3,PARIS /CHARLES DE GAULLE ,CDG,26,2023-01-30
4,4,PARIS /ORLY ,ORY,25,2023-01-17
5,5,BUCAREST ,OTP,79,2023-01-17
6,6,VIENA ,VIE,20,2023-01-01
7,7,VARSOVIA ,WAW,36,2023-01-20
8,8,VARSOVIA/MODLIN ,WMI,37,2023-01-25
9,9,BUDAPEST ,BUD,25,2023-01-17
10,10,PRAGA ,PRG,35,2023-01-17
11,11,SOFIA ,SOF,29,2023-01-10
12,12,BRUSELAS ,BRU,16,2023-01-31
13,13,BRUSELAS /CHARLEROI ,CRL,16,2023-01-31
14,14,ESTOCOLMO /ARLANDA ,ARN,70,2023-01-25
15,15,ATENAS ,ATH,73,2023-01-15
16,16,HELSINKI ,HEL,43,2023-01-24
17,17,RIGA ,RIX,118,2023-01-12
18,18,COPENHAGUE ,CPH,52,2023-01-17
19,19,DUBLIN ,DUB,19,2023-01-31
20,20,LISBOA ,LIS,10,2023-01-16
